timestamp,I_A,T_pneu,V_V,SOC_pct,session_id,driver_id,source_file,label_classe
0.0,70.559,42.382,51.246,98.0,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
1.0,70.857,39.762,54.875,97.99,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
2.0,70.097,43.018,54.155,97.99,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
3.0,78.966,43.036,46.468,97.99,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
4.0,74.996,45.464,52.786,97.99,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
5.0,77.984,39.962,50.031,97.98,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
6.0,81.533,42.413,55.618,97.98,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
7.0,80.754,40.693,57.227,97.98,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
8.0,46.864,41.73,45.429,97.98,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
9.0,79.838,40.529,59.607,97.97,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
10.0,72.465,42.402,53.816,97.97,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
11.0,79.843,43.711,58.172,97.97,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
12.0,67.319,41.597,49.283,97.96,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
13.0,71.219,47.723,46.558,97.96,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
14.0,81.535,45.914,57.227,97.96,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
15.0,88.243,42.901,41.865,97.96,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
16.0,83.637,40.218,53.584,97.95,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
17.0,71.081,44.569,58.027,97.95,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
18.0,80.564,41.919,48.951,97.95,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
19.0,84.014,42.018,52.947,97.94,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
20.0,67.383,42.578,38.841,97.94,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
21.0,69.066,44.01,63.18,97.94,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
22.0,77.482,43.526,62.37,97.94,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
23.0,77.729,41.179,60.978,97.93,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
24.0,87.385,43.151,69.433,97.93,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
25.0,91.168,43.45,49.735,97.93,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
26.0,73.849,46.075,60.451,97.93,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
27.0,51.721,44.657,58.421,97.92,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
28.0,69.325,43.237,67.825,97.92,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
29.0,71.44,45.971,50.509,97.92,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
30.0,76.813,40.769,55.888,97.92,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
31.0,84.804,43.261,72.444,97.92,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
32.0,89.724,40.651,53.247,97.91,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
33.0,93.639,39.897,62.196,97.91,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
34.0,91.63,44.685,54.732,97.91,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
35.0,63.925,43.651,52.826,97.9,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
36.0,70.407,43.899,41.85,97.9,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
37.0,79.238,44.904,66.027,97.9,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
38.0,65.562,44.169,58.618,97.89,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
39.0,69.839,45.516,55.223,97.89,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
40.0,89.688,44.463,56.849,97.89,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
41.0,79.488,42.647,55.488,97.88,conservador_sessao_1,DRV_C04,telemetria_conservador_3.csv,conservador
