timestamp,I_A,T_pneu,V_V,SOC_pct,session_id,driver_id,source_file,label_classe
493.0,139.68,50.888,62.226,72.667,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
142.0,88.173,42.372,26.107,66.114,sessao_conservador,driver_3,tcc_sintetico_novo.csv,conservador
410.0,147.032,60.041,49.977,55.415,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
32.0,99.298,44.11,21.983,73.803,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
571.0,129.53,52.732,92.131,69.544,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
594.0,154.686,53.606,76.688,62.435,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
874.0,325.066,109.883,97.497,22.398,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
400.0,175.319,55.387,83.164,69.118,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
407.0,161.599,53.76,68.431,71.352,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
273.0,90.849,48.601,66.791,61.585,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
692.0,376.332,84.86,130.771,43.286,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
61.0,83.154,46.72,39.689,66.202,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
313.0,103.039,68.619,95.162,67.061,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
643.0,214.178,92.515,154.824,54.027,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
501.0,141.895,65.024,45.681,43.207,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
346.0,164.017,55.423,87.425,67.205,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
352.0,173.718,65.372,59.493,66.862,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
644.0,381.217,80.486,133.922,22.073,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
773.0,236.568,113.028,102.857,57.085,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
855.0,374.127,110.363,138.202,39.376,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
15.0,78.888,41.653,20.938,76.936,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
760.0,254.273,83.943,146.345,48.267,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
693.0,303.845,104.31,99.628,22.309,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
782.0,297.453,97.199,127.753,59.982,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
527.0,188.031,62.468,85.55,64.826,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
104.0,90.908,43.842,64.226,96.61,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
159.0,88.723,45.398,46.325,83.099,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
722.0,327.352,109.929,98.003,41.149,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
459.0,175.958,69.761,112.104,66.067,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
550.0,140.131,55.85,52.186,50.647,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
151.0,86.458,45.489,32.104,87.383,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
568.0,177.078,50.058,108.717,47.441,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
718.0,342.556,95.448,127.08,27.415,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
404.0,157.717,67.543,74.704,46.434,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
657.0,253.48,80.604,157.201,30.036,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
867.0,204.706,97.185,102.315,25.167,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
363.0,182.933,56.351,116.224,73.008,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
390.0,129.544,65.384,89.973,55.278,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
831.0,346.297,118.325,97.636,55.447,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
454.0,180.36,60.104,117.37,56.71,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
677.0,387.256,82.56,145.979,31.695,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
232.0,81.749,41.244,77.385,91.92,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
98.0,83.034,42.537,44.312,82.859,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
492.0,184.392,55.698,77.028,57.542,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
621.0,278.365,101.868,122.562,43.617,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
549.0,107.29,58.057,63.623,49.295,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
205.0,75.261,49.144,45.126,75.326,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
56.0,88.45,49.901,28.405,80.733,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
66.0,71.232,43.988,46.011,89.762,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
737.0,373.682,95.165,109.719,44.741,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
636.0,276.104,86.521,142.896,49.378,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
197.0,80.883,48.611,33.171,98.982,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
309.0,130.793,64.094,56.148,66.937,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
295.0,72.074,44.372,25.844,76.201,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
702.0,346.263,107.891,140.211,38.602,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
279.0,98.546,41.242,73.773,83.791,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
78.0,86.369,49.415,43.166,98.448,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
893.0,288.821,101.275,149.889,59.823,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
387.0,138.76,59.239,119.327,78.83,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
597.0,149.824,58.133,116.242,60.902,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
504.0,115.432,53.437,91.03,69.639,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
259.0,90.499,44.459,36.418,99.885,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
300.0,74.373,44.494,55.273,97.943,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
774.0,314.252,85.72,109.964,51.909,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
143.0,84.634,48.508,25.273,92.235,sessao_conservador,driver_3,tcc_sintetico_novo.csv,conservador
625.0,260.586,93.012,137.01,52.671,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
524.0,119.462,51.153,67.396,50.81,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
885.0,318.692,80.65,138.302,32.941,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
776.0,235.025,106.911,97.64,28.728,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
476.0,124.189,50.248,77.501,52.051,sessao_moderado,driver_3,tcc_sintetico_novo.csv,moderado
843.0,355.258,85.22,125.234,37.69,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
623.0,260.789,89.217,80.118,49.174,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
9.0,90.498,46.1,69.992,66.935,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
772.0,226.331,114.188,93.224,54.17,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
381.0,113.315,52.043,92.695,77.713,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
554.0,107.178,63.652,59.355,68.558,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
863.0,206.988,119.59,82.402,37.781,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
145.0,96.898,45.76,75.044,60.212,sessao_conservador,driver_2,tcc_sintetico_novo.csv,conservador
146.0,77.737,41.709,60.119,97.175,sessao_conservador,driver_3,tcc_sintetico_novo.csv,conservador
312.0,101.752,54.883,106.47,74.584,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
391.0,101.043,55.108,60.857,42.77,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
736.0,288.459,108.296,111.138,29.155,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
543.0,173.787,66.683,99.238,45.714,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
35.0,88.969,46.335,52.146,63.612,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
795.0,255.493,91.265,157.069,20.411,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
483.0,102.514,63.889,46.577,76.427,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
900.0,221.609,99.14,126.845,41.655,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
507.0,112.3,61.173,67.453,69.167,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
28.0,79.143,41.647,52.045,79.393,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
321.0,154.569,58.888,41.173,63.482,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
31.0,84.917,43.009,37.09,61.475,sessao_conservador,driver_1,tcc_sintetico_novo.csv,conservador
419.0,176.659,64.672,63.955,46.939,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
453.0,131.316,65.972,117.42,74.275,sessao_moderado,driver_1,tcc_sintetico_novo.csv,moderado
845.0,210.478,86.385,106.85,23.072,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
870.0,250.605,114.622,88.227,25.038,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
788.0,321.664,91.242,93.88,35.19,sessao_agressivo,driver_2,tcc_sintetico_novo.csv,agressivo
265.0,70.934,46.517,42.112,94.574,sessao_conservador,driver_3,tcc_sintetico_novo.csv,conservador
683.0,303.001,101.422,108.551,34.152,sessao_agressivo,driver_1,tcc_sintetico_novo.csv,agressivo
733.0,246.404,80.575,141.148,44.95,sessao_agressivo,driver_3,tcc_sintetico_novo.csv,agressivo
347.0,145.686,53.806,44.187,55.139,sessao_moderado,driver_2,tcc_sintetico_novo.csv,moderado
