timestamp,I_A,T_pneu,session_id,driver_id
0.0,19.52,26.956,sessao3,C
0.01,18.699,27.039,sessao3,C
0.02,20.235,26.915,sessao3,C
0.03,19.768,26.857,sessao3,C
0.04,20.668,26.719,sessao3,C
0.05,20.016,26.825,sessao3,C
0.06,20.234,26.687,sessao3,C
0.07,20.886,26.716,sessao3,C
0.08,22.449,26.546,sessao3,C
0.09,22.696,26.491,sessao3,C
0.1,21.672,26.415,sessao3,C
0.11,20.434,26.519,sessao3,C
0.12,21.335,26.284,sessao3,C
0.13,21.56,26.365,sessao3,C
0.14,21.351,26.311,sessao3,C
0.15,21.498,26.263,sessao3,C
0.16,21.371,26.168,sessao3,C
0.17,22.942,26.197,sessao3,C
0.18,22.539,26.089,sessao3,C
0.19,21.882,26.104,sessao3,C
0.2,20.545,26.021,sessao3,C
0.21,21.616,25.945,sessao3,C
0.22,22.763,25.971,sessao3,C
0.23,22.449,25.895,sessao3,C
0.24,23.181,25.906,sessao3,C
0.25,22.995,25.758,sessao3,C
0.26,21.151,25.764,sessao3,C
0.27,21.469,25.698,sessao3,C
0.28,21.323,25.694,sessao3,C
0.29,21.629,25.545,sessao3,C
0.3,23.96,25.532,sessao3,C
0.31,23.48,25.376,sessao3,C
0.32,23.322,25.424,sessao3,C
0.33,24.009,25.43,sessao3,C
0.34,22.274,25.359,sessao3,C
0.35,22.901,25.236,sessao3,C
0.36,22.8,25.29,sessao3,C
0.37,23.123,25.14,sessao3,C
0.38,22.654,25.168,sessao3,C
0.39,23.008,25.142,sessao3,C
0.4,21.209,25.067,sessao3,C
0.41,23.368,25.03,sessao3,C
0.42,24.486,24.982,sessao3,C
0.43,23.373,24.935,sessao3,C
0.44,22.673,24.876,sessao3,C
0.45,23.236,24.945,sessao3,C
0.46,24.137,24.756,sessao3,C
0.47,23.596,24.734,sessao3,C
0.48,22.398,24.809,sessao3,C
0.49,23.501,24.599,sessao3,C
0.5,23.092,24.635,sessao3,C
0.51,22.07,24.566,sessao3,C
0.52,23.392,24.558,sessao3,C
0.53,22.115,24.487,sessao3,C
0.54,22.628,24.469,sessao3,C
0.55,22.222,24.345,sessao3,C
0.56,21.769,24.356,sessao3,C
0.57,22.735,24.22,sessao3,C
0.58,22.652,24.264,sessao3,C
0.59,22.74,24.207,sessao3,C
0.6,21.13,24.191,sessao3,C
0.61,21.946,24.114,sessao3,C
0.62,21.94,24.113,sessao3,C
0.63,22.779,23.999,sessao3,C
0.64,22.914,23.969,sessao3,C
0.65,22.299,23.992,sessao3,C
0.66,20.779,23.896,sessao3,C
0.67,22.305,23.885,sessao3,C
0.68,20.956,23.833,sessao3,C
0.69,20.998,23.793,sessao3,C
0.7,22.815,23.764,sessao3,C
0.71,21.618,23.689,sessao3,C
0.72,23.49,23.629,sessao3,C
0.73,20.625,23.592,sessao3,C
0.74,20.103,23.573,sessao3,C
0.75,20.62,23.615,sessao3,C
0.76,21.812,23.43,sessao3,C
0.77,20.164,23.408,sessao3,C
0.78,19.168,23.459,sessao3,C
0.79,20.811,23.329,sessao3,C
0.8,20.278,23.36,sessao3,C
0.81,18.247,23.301,sessao3,C
0.82,20.321,23.233,sessao3,C
0.83,19.424,23.086,sessao3,C
0.84,17.637,23.127,sessao3,C
0.85,18.937,23.102,sessao3,C
0.86,20.033,23.074,sessao3,C
0.87,21.0,23.053,sessao3,C
0.88,18.888,23.041,sessao3,C
0.89,20.867,22.92,sessao3,C
0.9,19.171,22.845,sessao3,C
0.91,18.395,22.688,sessao3,C
0.92,17.921,22.839,sessao3,C
0.93,18.435,22.766,sessao3,C
0.94,19.049,22.723,sessao3,C
0.95,18.419,22.654,sessao3,C
0.96,19.168,22.615,sessao3,C
0.97,20.779,22.596,sessao3,C
0.98,19.131,22.489,sessao3,C
0.99,17.934,22.491,sessao3,C
1.0,17.603,22.481,sessao3,C
1.01,17.331,22.296,sessao3,C
1.02,18.028,22.353,sessao3,C
1.03,17.425,22.381,sessao3,C
1.04,17.129,22.301,sessao3,C
1.05,18.258,22.18,sessao3,C
1.06,17.49,22.192,sessao3,C
1.07,17.377,22.184,sessao3,C
1.08,17.412,22.173,sessao3,C
1.09,16.203,22.191,sessao3,C
1.1,17.384,22.161,sessao3,C
1.11,16.956,21.916,sessao3,C
1.12,16.694,21.933,sessao3,C
1.13,17.292,21.974,sessao3,C
1.14,17.988,21.998,sessao3,C
1.15,17.858,21.881,sessao3,C
1.16,17.781,21.85,sessao3,C
1.17,17.195,21.714,sessao3,C
1.18,16.728,21.595,sessao3,C
1.19,16.004,21.616,sessao3,C
1.2,17.424,21.727,sessao3,C
1.21,17.888,21.63,sessao3,C
1.22,18.364,21.663,sessao3,C
