timestamp,I_A,T_pneu,session_id,driver_id
0.0,14.359,26.981,sessao2,B
0.01,15.174,26.989,sessao2,B
0.02,14.742,26.882,sessao2,B
0.03,14.813,26.86,sessao2,B
0.04,14.973,26.866,sessao2,B
0.05,16.49,26.83,sessao2,B
0.06,15.495,26.71,sessao2,B
0.07,14.756,26.653,sessao2,B
0.08,15.106,26.617,sessao2,B
0.09,15.692,26.58,sessao2,B
0.1,14.775,26.49,sessao2,B
0.11,15.3,26.418,sessao2,B
0.12,15.176,26.479,sessao2,B
0.13,15.715,26.279,sessao2,B
0.14,15.024,26.303,sessao2,B
0.15,14.875,26.183,sessao2,B
0.16,15.695,26.19,sessao2,B
0.17,16.888,26.196,sessao2,B
0.18,16.629,26.168,sessao2,B
0.19,16.994,26.053,sessao2,B
0.2,15.823,26.061,sessao2,B
0.21,15.548,25.94,sessao2,B
0.22,16.401,25.907,sessao2,B
0.23,16.569,25.891,sessao2,B
0.24,16.302,25.821,sessao2,B
0.25,15.992,25.757,sessao2,B
0.26,16.298,25.784,sessao2,B
0.27,16.83,25.76,sessao2,B
0.28,17.299,25.705,sessao2,B
0.29,17.259,25.607,sessao2,B
0.3,16.261,25.533,sessao2,B
0.31,16.394,25.521,sessao2,B
0.32,17.108,25.469,sessao2,B
0.33,16.629,25.486,sessao2,B
0.34,16.793,25.375,sessao2,B
0.35,16.995,25.305,sessao2,B
0.36,16.517,25.266,sessao2,B
0.37,17.37,25.212,sessao2,B
0.38,17.706,25.155,sessao2,B
0.39,16.666,25.112,sessao2,B
0.4,17.008,25.118,sessao2,B
0.41,16.647,24.949,sessao2,B
0.42,17.323,24.917,sessao2,B
0.43,16.816,24.861,sessao2,B
0.44,16.898,24.95,sessao2,B
0.45,16.797,24.794,sessao2,B
0.46,17.473,24.912,sessao2,B
0.47,17.294,24.831,sessao2,B
0.48,17.139,24.804,sessao2,B
0.49,17.365,24.675,sessao2,B
0.5,16.465,24.744,sessao2,B
0.51,17.518,24.723,sessao2,B
0.52,17.161,24.592,sessao2,B
0.53,16.704,24.543,sessao2,B
0.54,18.199,24.528,sessao2,B
0.55,17.311,24.487,sessao2,B
0.56,17.627,24.36,sessao2,B
0.57,17.269,24.331,sessao2,B
0.58,17.397,24.328,sessao2,B
0.59,17.865,24.336,sessao2,B
0.6,17.346,24.305,sessao2,B
0.61,16.915,24.176,sessao2,B
0.62,17.982,24.062,sessao2,B
0.63,17.055,24.142,sessao2,B
0.64,18.191,24.136,sessao2,B
